main_address,rental_type
4705 N BROADWAY,Standard Rental
1175 LEE HILL DR,Owner Fee Exempt
4881 N BROADWAY,Standard Rental
754 ZAMIA CT,Accessory Dwelling Unit
4850 10TH ST,Standard Rental
4852 DAKOTA BL,Standard Rental
4866 DAKOTA BL,Standard Rental
4867 10TH ST,Standard Rental
4861 DAKOTA BL,Standard Rental
4878 DAKOTA BL,Standard Rental
4912 10TH ST,Owner Fee Exempt
4936 10TH ST,Owner Fee Exempt
4956 10TH ST,Owner Fee Exempt
4960 10TH ST,Owner Fee Exempt
4962 10TH ST,Owner Fee Exempt
4964 10TH ST,Owner Fee Exempt
4976 10TH ST,Standard Rental
4978 10TH ST,Owner Fee Exempt
4957 10TH ST,Owner Fee Exempt
4955 10TH ST,Owner Fee Exempt
4953 10TH ST,Owner Fee Exempt
4935 10TH ST,Standard Rental
4929 10TH ST,Owner Fee Exempt
4927 10TH ST,Owner Fee Exempt
4925 10TH ST,Owner Fee Exempt
4916 DAKOTA BLVD,Standard Rental
4890 6TH ST,Short Term Rental
602 WINGATE AVE,Short Term Rental
502 WINGATE AVE,Short Term Rental
601 WINGATE AVE,Standard Rental
504 DAKOTA BL,Standard Rental
680 LARAMIE BL,Standard Rental
640 LARAMIE BL,Standard Rental
630 LARAMIE BLVD,Standard Rental
611 DAKOTA BLVD,Standard Rental
665 DAKOTA BL,Standard Rental
509 LARAMIE BL,Standard Rental
517 LARAMIE BL,Standard Rental
5049 5TH ST,Standard Rental
5057 5TH ST,Standard Rental
5065 5TH ST,Standard Rental
5097 5TH ST,Standard Rental
1089 LARAMIE BL A,Standard Rental
1045 LARAMIE BLVD B,Standard Rental
1033 LARAMIE BL B,Standard Rental
1065 LARAMIE BL B,Standard Rental
1065 LARAMIE BL E,Standard Rental
1077 LARAMIE BLVD B,Standard Rental
4822 6TH ST,Short Term Rental
4852 6TH ST,Accessory Dwelling Unit
4895 6TH ST,Standard Rental
1021 LARAMIE BL B,Standard Rental
1021 LARAMIE BL  E,Standard Rental
1001 LARAMIE BL C,Standard Rental
1001 LARAMIE BL D,Standard Rental
1001 LARAMIE BL E,Standard Rental
1001 LARAMIE BL G,Standard Rental
1001 LARAMIE BL H,Standard Rental
1001 LARAMIE BL I,Standard Rental
963 LARAMIE BL A,Standard Rental
963 LARAMIE BLVD E,Standard Rental
955 LARAMIE BL B,Standard Rental
955 LARAMIE BLVD C,Standard Rental
923 LARAMIE BLVD A,Standard Rental
923 LARAMIE BL B,Standard Rental
923 LARAMIE BL C,Standard Rental
935 LARAMIE BL A,Standard Rental
335 LEE HILL RD,Short Term Rental
750 LARAMIE BL H,Standard Rental
750 LARAMIE BLVD L,Standard Rental
5055 RALSTON ST C,Standard Rental
5055 RALSTON ST D,Standard Rental
5050 PIERRE ST C,Standard Rental
5060 PIERRE ST B,Standard Rental
5060 PIERRE ST E,Standard Rental
5065 RALSTON ST D,Standard Rental
4645 BROADWAY   B1,Standard Rental
4645 BROADWAY  B2,Standard Rental
4645 BROADWAY   B3,Standard Rental
4645 BROADWAY B8,Standard Rental
4645 BROADWAY C4,Standard Rental
5040 RALSTON ST D,Standard Rental
4760 8TH ST,Short Term Rental
4767 10TH ST,Standard Rental
4777 10TH ST,Standard Rental
4787 10TH ST,Standard Rental
804 ZAMIA AVE,Standard Rental
5070 RALSTON ST B,Standard Rental
5070 RALSTON ST C,Standard Rental
