address,city,state,Zip,Latitude,Longitude
1333 UNIVERSITY AVE,BOULDER,Colorado,80302,40.010846,-105.275199
350 ARAPAHOE AVE,BOULDER,Colorado,80302,40.012139,-105.292807
1165 10TH ST,BOULDER,Colorado,80302,40.008529,-105.280294
2867 SPRINGDALE LN,BOULDER,Colorado,80303,40.00931,-105.256693
4663 16TH ST,BOULDER,Colorado,80304,40.059404,-105.277919
1 ARNETT HALL,BOULDER,Colorado,80301,40.049468,-105.201421
7097 JAY RD,BOULDER,Colorado,80301,40.051147,-105.188384
5087 MERRITT DR,BOULDER,Colorado,80303,40.012666,-105.231075
720 PEAKVIEW RD,BOULDER,Colorado,80302,40.095664,-105.325386
395 PINE BROOK RD,BOULDER,Colorado,80304,40.057186,-105.317609
830 20TH ST,BOULDER,Colorado,80302,40.002532,-105.267356
4866 FRANKLIN DR,BOULDER,Colorado,80301,40.031883,-105.240572
975 PLEASANT ST,BOULDER,Colorado,80302,40.009742,-105.28028
1300 30TH ST,BOULDER,Colorado,80303,40.009274,-105.253324
920 MARINE ST,BOULDER,Colorado,80302,40.011785,-105.282368
6125 HABITAT DR,BOULDER,Colorado,80301,40.061148,-105.210808
3601 ARAPAHOE AVE,BOULDER,Colorado,80303,40.015076,-105.247502
1841 19TH ST,BOULDER,Colorado,80302,40.018057,-105.270695
4595 LAGUNA PL,BOULDER,Colorado,80303,39.998328,-105.236785
424 S LASHLEY LN,BOULDER,Colorado,80305,39.988541,-105.253439
2133 5TH ST,BOULDER,Colorado,80302,40.017885,-105.29023
1459 WHITE HAWK RANCH DR,BOULDER,Colorado,80303,40.013143,-105.142929
2605 BUCKINGHAM HALL,BOULDER,Colorado,80301,40.049468,-105.201421
1878 4 MILE CANYON DR,BOULDER,Colorado,80631,40.430295,-104.708156
4820 THUNDERBIRD CIR,BOULDER,Colorado,80303,39.988668,-105.233714
1823 22ND ST,BOULDER,Colorado,80302,40.01819,-105.266722
905 MARINE ST,BOULDER,Colorado,80302,40.012166,-105.28285
7574 SPRING DR,BOULDER,Colorado,80303,39.977267,-105.175747
619 MARINE ST,BOULDER,Colorado,80302,40.01205,-105.286634
3035 ONEAL PKWY,BOULDER,Colorado,80301,40.03427,-105.252784
166 KELLY RD E,BOULDER,Colorado,80302,40.0127,-105.351873
490 ERIE DR,BOULDER,Colorado,80303,39.998051,-105.24445
1601 MARIPOSA AVE,BOULDER,Colorado,80302,39.998477,-105.272239
3150 LANE CT,BOULDER,Colorado,80305,39.971865,-105.254683
7034 INDIAN PEAKS TRL,BOULDER,Colorado,80301,40.061282,-105.187534
5354 MUIRFIELD CT,BOULDER,Colorado,80301,40.071859,-105.184763
4900 THUNDERBIRD DR,BOULDER,Colorado,80303,39.994827,-105.23277
474 LEONARDS RD,BOULDER,Colorado,80302,40.0363,-105.334337
1810 HILLSIDE RD,BOULDER,Colorado,80302,40.011322,-105.270727
980 ZAMIA AVE,BOULDER,Colorado,80304,40.060601,-105.284816
1520 WILDWOOD LN,BOULDER,Colorado,80305,39.974962,-105.26457
950 28TH ST,BOULDER,Colorado,80303,40.005621,-105.25754
4750 CARTER TRL,BOULDER,Colorado,80301,40.060937,-105.191274
2731 JUNIPER AVE,BOULDER,Colorado,80304,40.038112,-105.259913
4747 TABLE MESA DR,BOULDER,Colorado,80305,39.986183,-105.237114
6951 OLDE STAGE RD,BOULDER,Colorado,80302,40.100761,-105.303486
3960 GREENBRIAR BLVD,BOULDER,Colorado,80305,39.969472,-105.246965
1656 BEAR MOUNTAIN DR,BOULDER,Colorado,80305,39.971906,-105.263376
1155 MARINE ST,BOULDER,Colorado,80302,40.013042,-105.279037
4676 WHITE ROCK CIR,BOULDER,Colorado,80301,40.058474,-105.212948
3800 COLORADO AVE,BOULDER,Colorado,80303,40.006027,-105.24596
1831 22ND ST,BOULDER,Colorado,80302,40.018286,-105.266634
128 IROQUOIS DR,BOULDER,Colorado,80303,39.98883,-105.228151
3530 BERKLEY AVE,BOULDER,Colorado,80305,39.992549,-105.251479
3665 PAONIA ST,BOULDER,Colorado,80301,40.041902,-105.253543
4250 GRINNELL AVE,BOULDER,Colorado,80305,39.976621,-105.246931
1544 NORTH ST,BOULDER,Colorado,80304,40.024369,-105.276723
3275 APACHE RD,BOULDER,Colorado,80310,39.997265,-105.250782
3195 PEARL PKWY,BOULDER,Colorado,80301,40.024301,-105.250846
3977 BOSQUE CT,BOULDER,Colorado,80301,40.047181,-105.252699
2510 47th  st  unit c,BOULDER,Colorado,80301,40.025723,-105.243869
1444 FOLSOM ST,BOULDER,Colorado,80302,40.012304,-105.262577
4955 TESLA CIR,BOULDER,Colorado,80301,40.033001,-105.237384
190 IROQUOIS DR,BOULDER,Colorado,80303,39.990192,-105.228972
2795 ILIFF ST,BOULDER,Colorado,80305,39.971306,-105.25678
1782 GARLAND LN,BOULDER,Colorado,80304,40.033227,-105.273365
5295 N 51ST ST,BOULDER,Colorado,80301,40.070894,-105.235686
1002 MAPLETON AVE,BOULDER,Colorado,80304,40.020222,-105.283536
2800 KALMIA AVE,BOULDER,Colorado,80301,40.038139,-105.257332
1385 DREXEL ST,BOULDER,Colorado,80305,39.975487,-105.252335
308 ARAPAHOE AVE,BOULDER,Colorado,80302,40.010432,-105.295155
