PRECINCT,City
2171207308,Lafayette
2181007832,Boulder
2171107623,Longmont
2171107601,Longmont
2181207210,Louisville
2184907828,Boulder
2171207313,Lafayette
2181207101,Superior
2171207316,Lafayette
2171107626,Longmont
2171907405,Lafayette
2181007830,Boulder
2181007803,Boulder
2171907406,Erie
2171207310,Lafayette
2181007837,Boulder
2171107615,Longmont
2154907912,Boulder
2154907911,Boulder
2154907701,Longmont
2181007829,Boulder
2181207209,Louisville
2171107648,Longmont
2171907401,Erie
2171907635,Longmont
2171107610,Longmont
2171107622,Longmont
2181207504,Boulder
2181007819,Boulder
2171207307,Lafayette
2171107616,Longmont
2171107628,Longmont
2181207201,Louisville
2171107634,Longmont
2181207100,Superior
2171207309,Lafayette
2181207105,Superior
2171907404,Erie
2171107624,Longmont
2171107603,Longmont
2171207312,Lafayette
2181007821,Boulder
2181007817,Boulder
2171107607,Longmont
2181007850,Boulder
2181007846,Boulder
2181207502,Boulder
2184907857,Boulder
2171107649,Longmont
2171907636,Longmont
2171107644,Longmont
2171107630,Longmont
2181007823,Boulder
2171207302,Lafayette
2181207500,Boulder
2181207103,Superior
2181007818,Boulder
2171207306,Lafayette
2154907907,Boulder
2171107606,Longmont
2181007842,Boulder
2184907844,Boulder
2184907856,Boulder
2171107629,Longmont
2181207507,Boulder
2181007800,Boulder
2171907407,Longmont
2171907400,Erie
2154907905,Nederland
2171107641,Longmont
2181007840,Boulder
2154907916,Lyons
2154907908,Lyons
2181207104,Superior
2154907910,Boulder
2184907854,Boulder
2184907804,Boulder
2171907620,Longmont
2181007833,Boulder
2181207505,Boulder
2171107612,Longmont
2171207311,Lafayette
2154907904,Nederland
2181207200,Louisville
2181007811,Boulder
2181007816,Boulder
2154907900,Eldorado Springs
2181207203,Louisville
2171107645,Longmont
2181007834,Boulder
2181007849,Boulder
2181007843,Boulder
2181207509,Niwot
2181007809,Boulder
2171107651,Longmont
2184907845,Boulder
2181007825,Boulder
2184907852,Boulder
2171907621,Longmont
2181007851,Boulder
2181007820,Boulder
2171107609,Longmont
2171207300,Lafayette
2181207207,Louisville
2154907902,Nederland
2181007826,Boulder
2181007810,Boulder
2181007802,Boulder
2154907704,Longmont
2184907855,Boulder
2154907906,Boulder
2171107604,Longmont
2181207208,Louisville
2181007822,Boulder
2181007806,Boulder
2171107614,Longmont
2171107625,Longmont
2171107632,Longmont
2181207211,Louisville
2171107602,Longmont
2181007838,Boulder
2154907915,Lyons
2181007813,Boulder
2181207204,Louisville
2171107618,Longmont
2181207205,Louisville
2171107617,Longmont
2171107600,Longmont
2171107613,Longmont
2171207305,Lafayette
2181207202,Louisville
2154907903,Nederland
2171907403,Erie
2171907619,Longmont
2181007839,Boulder
2181007841,Boulder
2181007808,Boulder
2171207314,Lafayette
2154907914,Allenspark
2171107611,Longmont
2181207508,Niwot
2171107605,Longmont
2154907901,Nederland
2171107639,Longmont
2154907913,Jamestown
2171107642,Longmont
2181207102,Superior
2171207301,Lafayette
2171107631,Longmont
2184907815,Boulder
2181207510,Niwot
2151207700,Longmont
2181207106,Superior
2181207206,Louisville
2171107638,Longmont
2181007831,Boulder
2184907827,Boulder
2184907814,Boulder
2154907909,Boulder
2181007824,Boulder
2171107650,Longmont
2171107646,Longmont
2171907637,Longmont
2171107640,Longmont
2171107608,Longmont
2171107647,Longmont
2181007847,Boulder
2181007848,Boulder
2171107627,Longmont
2181207506,Boulder
2154907705,Longmont
2184907805,Boulder
2171907402,Erie
2171107633,Longmont
2181007801,Boulder
2181207503,Boulder
2171207304,Lafayette
2181007807,Boulder
2154907702,Longmont
2181007812,Boulder
2171207303,Lafayette
2171207315,Lafayette
2184907853,Boulder
2181007836,Boulder
2181207212,Louisville
2181207501,Boulder
2181007835,Boulder
2171907408,Lafayette
2171107643,Longmont
2151107703,Longmont
2184907003,Louisville
2151907002,Longmont
